work_id,title,rating,category,relationship,character,freeform
65610619,Silent Promise,Mature,M/M,Regulus Black/James Potter,"James Potter, Regulus Black","Established Regulus Black/James Potter, Microfic"
58898008,Sharing is Caring,Explicit,M/M,Seamus Finnigan/Neville Longbottom/Harry Potter/Dean Thomas/Ron Weasley,"Harry Potter, Ron Weasley, Neville Longbottom, Dean Thomas, Seamus Finnigan","Anal Sex, Anal Fingering, Gangbang, Multiple Orgasms, Exhibitionism, Voyeurism, Dirty Talk, Bottom Harry Potter, Top Ron Weasley, Top Neville Longbottom, Top Dean Thomas, Top Seamus Finnigan, Plot What Plot/Porn Without Plot, Shameless Smut, Stand Alone"
55072294,Thirty-One First Kisses [Podfic],Teen And Up Audiences,M/M,Harry Potter/Severus Snape,,"Alternate Universe - College/University, Alternate Universe - Fantasy, Alternate Universe - Soulmates, Alternate Universe - Angels & Demons, Alternate Universe - Post-Apocalypse, Alternate Universe - Hospital, Alternate Universe - Childhood Friends, Alternate Universe - Superheroes/Superpowers, Alternate Universe - Royalty, Alternate Universe - Pirate, Alternate Universe - Farm/Ranch, Alternate Universe - Crime, Alternate Universe - Rock Band, Alternate Universe - Vampire, Alternate Universe - Role Reversal, Alternate Universe - Treasure Hunter, Alternate Universe - Firefighters, Alternate Universe - Monster Hunters, Alternate Universe - Bodyguard, Alternate Universe - 19th Century, Alternate Universe - Single Parents, Alternate Universe - Futuristic, Alternate Universe - Arranged Marriage, Alternate Universe - Private Detectives, Alternate Universe - Circus, Alternate Universe - Flower Shop, Alternate Universe - Tattoo Parlor, Alternate Universe - Magic, Alternate Universe - Professional Rivals, Podfic & Podficced Works, Podfic, Podfic Length: 20-30 Minutes"
55071994,Harry after Healer [Podfic],Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Original Characters","Fluff, Short & Sweet, high after surgery, Harry Potter Epilogue What Epilogue | EWE, Sarcasm, Domestic Fluff, St. Mungos, Slice of Life, Established Relationship, Established Draco Malfoy/Harry Potter, Post-Op, Comfort, Married Couple, Podfic & Podficced Works, Podfic, Podfic Length: 10-20 Minutes"
55069522,"I didn't think I was a snowman, but you just made my heart melt [Podfic]",Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Hermione Granger, Other(s)","Secret Santa, Ho ho ho!, Mutual Pining, Awkward Flirting, First Kiss, Podfic & Podficced Works, Podfic, Podfic Length: 20-30 Minutes"
55069138,Dog Collars and Gay Godfathers [Podfic],General Audiences,M/M,"Sirius Black/Remus Lupin, wolfstar - Relationship","Harry Potter, Remus Lupin, Sirius Black","dog collar, gay godfathers, Humor, Sarcasm, Podfic & Podficced Works, Podfic, Podfic Length: 0-10 Minutes"
51355108,Scars,Teen And Up Audiences,M/M,Harry Potter/Fred Weasley/George Weasley,"Harry Potter, Fred Weasley, George Weasley","Whumptober 2023, Whump, Hurt/Comfort, Book 5: Harry Potter and the Order of the Phoenix, Evil Dolores Umbridge, Scars, Blood and Injury, Blood Quills (Harry Potter), Implied/Referenced Child Abuse, Abusive Dursley Family (Harry Potter)"
51321706,In Sickness and In Health,General Audiences,F/M,Remus Lupin/Nymphadora Tonks,"Remus Lupin, Nymphadora Tonks","Not Canon Compliant, Not Epilogue Compliant, Harry Potter Epilogue What Epilogue | EWE, Remus Lupin & Nymphadora Tonks Live, Sickfic, Sick Character, Mentioned Andromeda Black Tonks"
51321619,Night of the Aging Werewolf,General Audiences,,"Remus Lupin/Nymphadora Tonks, Remus Lupin & Teddy Lupin & Nymphadora Tonks","Remus Lupin, Nymphadora Tonks, Teddy Lupin","Werewolf Remus Lupin, Full Moon, Not Canon Compliant, Not Epilogue Compliant, Harry Potter Epilogue What Epilogue | EWE, Raising Teddy Lupin"
51321442,A Boring Meeting and a Tempting Proposal,General Audiences,F/M,Remus Lupin/Nymphadora Tonks,"Remus Lupin, Nymphadora Tonks","Canon Compliant, Post-Harry Potter and the Half-Blood Prince, Order of the Phoenix (Harry Potter), Order of the Phoenix Meetings (Harry Potter)"
51321367,"Hush, Remus Lupin",General Audiences,F/M,"Remus Lupin/Nymphadora Tonks, Andromeda Black Tonks & Nymphadora Tonks, Remus Lupin & Andromeda Black Tonks, Remus Lupin & Teddy Lupin & Nymphadora Tonks","Remus Lupin, Nymphadora Tonks, Teddy Lupin, Andromeda Black Tonks","Werewolf Remus Lupin, Full Moon, Remus Lupin Lives, Nymphadora Tonks Lives, BAMF Nymphadora Tonks"
51321184,"Happy Birthday, Molly",General Audiences,,Remus Lupin/Nymphadora Tonks,"Remus Lupin, Nymphadora Tonks, Teddy Lupin, Ron Weasley, George Weasley, Fred Weasley, Bill Weasley, Fleur Delacour, Arthur Weasley, Molly Weasley","Mentioned Andromeda Black Tonks, Birthday Party, The Burrow (Harry Potter), Fred Weasley Lives, Weasley Jumpers, Not Epilogue Compliant, Harry Potter Epilogue What Epilogue | EWE"
51321061,Quidditch and Difficult Questions,General Audiences,,"Remus Lupin/Nymphadora Tonks, Teddy Lupin & Harry Potter, Remus Lupin & Teddy Lupin & Nymphadora Tonks","Remus Lupin, Nymphadora Tonks, Teddy Lupin, Harry Potter","Crack, Crack Treated Seriously, Quidditch, Metamorphmagus Teddy Lupin, Remus Lupin & Nymphadora Tonks Live"
51320926,Silvery Sestina,General Audiences,,"Lyall Lupin & Remus Lupin, Hope Lupin & Lyall Lupin & Remus Lupin, Remus Lupin & Ted Tonks, Sirius Black & Remus Lupin & James Potter & Lily Evans Potter, Harry Potter & James Potter & Lily Evans Potter, Remus Lupin & Harry Potter, Sirius Black & Remus Lupin & Harry Potter, Remus Lupin/Nymphadora Tonks, Remus Lupin & Teddy Lupin",Remus Lupin,"Prose Poem, Sestina"
51320185,In a Dark Dark Wood,General Audiences,F/M,Remus Lupin/Nymphadora Tonks,"Remus Lupin, Nymphadora Tonks","Hogwarts Forbidden Forest, Book 6: Harry Potter and the Half-Blood Prince, Love Confessions, Declarations Of Love, Remus Lupin Needs a Hug, BAMF Nymphadora Tonks"
51296074,Quidditch and Snitches (Get Stitches),General Audiences,F/M,"Hermione Granger/Draco Malfoy, Harry Potter/Ginny Weasley","Hermione Granger, Draco Malfoy, Ginny Weasley, Harry Potter, Ron Weasley","Humour, Banter, Established Relationship, Fluff, Halloween, Halloween Costumes, Couples Costumes, Taking the piss, Bad Puns, Puns & Word Play, Mandrakes (Harry Potter), Flying Broomsticks (Harry Potter), Golden Snitches (Harry Potter), Herbology, Adult Hermione Granger, Adult Draco Malfoy, Post-War, Harry Potter Epilogue What Epilogue | EWE"
51270250,"Let Me Help You, Mr. Lupin",Explicit,M/M,Lyall Lupin/James Potter,"Lyall Lupin, James Potter","Dubious Consent, Age Difference, Grief/Mourning, Oral Sex, Anal Sex, Cock Warming, Minor Remus Lupin/James Potter, Past Hope Lupin/Lyall Lupin"
51270166,Family Line,General Audiences,M/M,"Sirius Black/Remus Lupin, Regulus Black & Sirius Black, Sirius Black & Remus Lupin & Peter Pettigrew & James Potter","Remus Lupin, Sirius Black, Lily Evans Potter, Peter Pettigrew, James Potter","Angst, Hurt/Comfort, Emotional Hurt/Comfort, Angst and Hurt/Comfort, Grief/Mourning, Loss of Parent(s), Minor Character Death, fictober23"
51269617,Better things to care about,Mature,M/M,Sirius Black/Remus Lupin,"Remus Lupin, Sirius Black, James Potter, Peter Pettigrew","Gay Remus Lupin, Sirius Black is a Little Shit, Gay Sirius Black, Bottom Sirius Black, Top Remus Lupin, Marauders Era (Harry Potter), Werewolf Remus Lupin, Young Sirius Black, Young Remus Lupin, Young Sirius Black/Remus Lupin"
51269353,Vivacious,Teen And Up Audiences,Gen,,Harry Potter,"Sentient Magical Houses (Harry Potter), Ambiguous/Open Ending, Microfic, Tumblr Inbox Trick or Treat 2023"
51267376,Coffee Spill,General Audiences,M/M,Regulus Black/James Potter,"Regulus Black, James Potter, Pandora Lovegood","Meet-Cute, First Meetings, Alternate Universe - Canon Divergence, Alternate Universe - Modern Setting"
51267193,Miss Hogwarts,Teen And Up Audiences,F/M,"Hannah Abbott/Neville Longbottom, past - Neville Longbottom/Luna Lovegood","Hannah Abbott, Neville Longbottom, Luna Lovegood, Harry Potter, Ginny Weasley","Beauty Pageant AU, Florist Neville Longbottom, Cop Harry Potter, Burglary, Armed Robbery, The silver trio are burglars, cultober, Severitus812's Cultober 2023"
51264970,Lost and Found,Teen And Up Audiences,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape, Harry Potter","Assassin AU, Murder, child abusee, Kidnapping, Dursleys"
51262696,Glue and Luck,General Audiences,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape","magical costumes, Flying, Fluff"
51260566,Names,Teen And Up Audiences,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape","fae Hermione, making deals, Names"
51260269,The Grumpy Devil,General Audiences,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape","Severus in a Halloween Costume, Fluff, Halloween Ball, Halloween, Grumpy Severus Snape"
51259270,In a haunted shop on Halloween...,Teen And Up Audiences,"M/M, Other",Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Trick or Treat: Trick, Harry Potter Epilogue What Epilogue | EWE, Post-Canon, Auror Harry Potter, Knockturn Alley (Harry Potter), Curses, Case Fic, Random & Short, Mystery, Tentacles, Tentacle Monsters, Dirty Thoughts, Humorous Ending, Pre-Relationship"
51258244,Red Forest Horror,Teen And Up Audiences,Gen,,Original Characters,"Halloween, Hogwarts Forbidden Forest, Ritual, drabbel, Oneshot"
51258034,Lavender's Plan,Explicit,F/M,Hermione Granger/Fred Weasley,"Hermione Granger, Fred Weasley, Lavender Brown","Knotting, first heat, mistaken feelings, mistaken mate, Alpha/Beta/Omega Dynamics"
51256063,The Collared Wolf,Mature,F/M,Hermione Granger/Draco Malfoy,"Hermione Granger, Draco Malfoy","wolf!Draco Malfoy, Hermione is a strong independent woman and don't need no man, Harry Potter Epilogue What Epilogue | EWE, Post-Second Wizarding War with Voldemort (Harry Potter), an attempt is made at neutering Draco Malfoy, wolf - Freeform, White Wolf - Freeform, Draco Malfoy is a good doggie, Humor, Fluff, crackfic"
51254695,In Front of Everybody,General Audiences,F/F,Luna Lovegood/Ginny Weasley,"Ginny Weasley, Luna Lovegood","wlw, Wedding, Vows, not needing a man"
51252598,Spider-Man,Explicit,M/M,Regulus Black/James Potter,"Regulus Black, James Potter","Marauders Era (Harry Potter), Smut, Shameless Smut, Halloween Smut, Halloween, Halloween Costumes, James Potter Lives, i feel that is important to say on Halloween, James Potter is Spider-Man, Not literally, Regulus is not a big fan of Halloween, i wonder why, halloween party, Getting Together, Snogging, Boys Kissing, Boys In Love, bossy Regulus Black, Top James Potter, Bottom Regulus Black, Consent is Sexy, Anal Sex, Anal Fingering, Gay Sex, James Potter is So Whipped, Regulus Black In Love, Flirting, Porn with Feelings, Plot What Plot/Porn Without Plot, there is a little plot, No Angst, NO DEATHS, I promise, Kinktober, Kinktober 2023, Come Eating"
51252595,Little Red Riding Hood,Explicit,M/M,Sirius Black/Remus Lupin,"Sirius Black, Remus Lupin","Marauders Era (Harry Potter), Smut, Shameless Smut, Halloween, Halloween Smut, Halloween Costumes, Sirius is Little Red Riding Hood, Get it?, cause Remus is a werewolf, jealous! Sirius Black, jealous! Remus Lupin, they are two jealous bastards, The smallest hint of angst, but not really, Established Sirius Black/Remus Lupin, Kinda, you'll know what I mean, Sirius Black Wears Makeup, Butt Plugs, Anal Sex, Rough Sex, Possessive Sex, Miscommunication, but they're fine, Kinktober, Kinktober 2023, Top Remus Lupin, Bottom Sirius Black, Makeup Sex, NO DEATHS, Tall Remus Lupin, Porn With Plot, Plot What Plot/Porn Without Plot, i can't decide which one it is, like there is a little plot, Sirius Black wears a corset"
51252190,Vampire Weekend,Mature,F/M,Hermione Granger/Ron Weasley,"Hermione Granger, Ron Weasley, Dean Thomas, Seamus Finnigan, Padma Patil","Murder Mystery, Inspired by Castle (TV), Auror Hermione Granger, Writer Ron Weasley"
51251836,Soul Song,General Audiences,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape","Soulmates, Dancing, Music, Autumn"
51251080,do opposites attract? (do we repel?),Teen And Up Audiences,"F/F, Gen, M/M, Other",Regulus Black/James Potter,"Regulus Black, James Potter, Sirius Black, Barty Crouch Jr., Evan Rosier, Pandora Lovegood","Regulus Black In Love, James Potter In Love, Soft James Potter, Abused Regulus Black, Sirius Black Has Issues, Apologetic James Potter, Fights, Developing Relationship, Regulus Black Has Issues, Regulus Black Has Social Anxiety, Teenage Drama, Minor Barty Crouch Jr./Evan Rosier, Mini Wolfstar, Reconciliation, Non-Linear Narrative, Warning: Walburga Black"
51250840,Lost Petals,Not Rated,F/M,"Sirius Black & Harry Potter, Harry Potter & James Potter & Lily Evans Potter, James Potter/Lily Evans Potter","Lily Evans Potter, James Potter, Harry Potter, Sirius Black","James Potter Lives, Lily Evans Potter Lives, Squibs (Harry Potter), lost of magic, Muggle Life, Harry Potter is Lord Potter, Happy Harry Potter, Family, Curses, Sirius Black Lives, black magic"
51250120,Where's Wally? (On a Bench in Privet Drive),General Audiences,Gen,Remus Lupin & Harry Potter,"Remus Lupin, Harry Potter, Petunia Dursley, Vernon Dursley, Dudley Dursley, Albus Dumbledore, Lyall Lupin","AU, Remus Lupin Raises Harry Potter, Hurt/Comfort, Friendship, Halloween, One Shot"
